	100	200	300	400	500	600
100	2	2	6	11	14	16
200	1	2	4	9	14	15
300	-9	-6	2	5	9	12
400	-9	-6	-1	3	5	7
500	-11	-9	-3	1	3	4
600	-13	-9	-5	0	2	4
